epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.87825,1.12188,2.05928,3.2652,1.15541,0.00333,1,0.80324,0.35215,0.00333,1,0.80324,0.48917,0.94775,1.73568,3.41658,1.0629,0.00034,0.00034,0.00034
2,8.67116,0.97912,1.27937,1.79087,1.02904,0.00333,1,0.56889,0.38297,0.00333,1,0.56911,0.37998,1.05238,1.90491,3.39419,1.07289,0.00068614,0.00068614,0.00068614
3,14.2508,0.96792,1.10613,1.59426,1.06209,0.00298,0.89474,0.00436,0.00232,0.00281,0.84211,0.00412,0.00157,1.35645,4.37164,4.09874,1.50662,0.00101802,0.00101802,0.00101802
4,17.7888,0.93279,1.14051,1.45146,1.02708,0.00281,0.84211,0.00654,0.00223,0.00281,0.84211,0.00691,0.00267,2.3815,3.93441,4.78553,1.87494,0.00133565,0.00133565,0.00133565
5,21.2518,0.95325,1.14791,1.35251,1.04418,0.00316,0.94737,0.33485,0.24054,0.00281,0.84211,0.3346,0.20252,1.51153,3.18131,3.33803,1.50517,0.00163902,0.00163902,0.00163902
6,24.7373,0.90739,1.07347,1.1658,1.0267,0.67903,0.31579,0.44324,0.23524,0.69319,0.31579,0.42871,0.25631,1.29992,2.93824,2.76553,1.47863,0.001802,0.001802,0.001802
7,28.1352,0.90117,1.08272,1.08947,1.01877,1,0.6198,0.92805,0.6386,1,0.6198,0.92805,0.66232,1.13208,1.69157,2.06476,1.35915,0.0017624,0.0017624,0.0017624
8,31.4708,0.88334,1.03667,0.98645,1.01068,1,0.68092,0.79481,0.54337,1,0.68092,0.76138,0.50907,1.25966,3.19559,1.7211,1.53641,0.0017228,0.0017228,0.0017228
9,34.6594,0.83392,1.03014,0.91564,0.98893,1,0.94548,0.983,0.68359,1,0.94548,0.983,0.64004,1.12331,3.11626,0.85077,1.41471,0.0016832,0.0016832,0.0016832
10,38.2099,0.80963,1.00479,0.89724,0.97792,0.981,0.78947,0.89736,0.67046,0.981,0.78947,0.89783,0.68638,0.97188,2.10756,1.20434,1.32493,0.0016436,0.0016436,0.0016436
